"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.02.2023","1.891,20","1.890,00","1.919,00","1.880,40","26,60K","-0,11%"
"29.01.2023","1.893,30","1.962,00","1.992,10","1.891,30","24,86K","-2,69%"
"22.01.2023","1.945,60","1.948,00","1.966,50","1.929,20","502,40K","0,04%"
"15.01.2023","1.944,90","1.939,90","1.955,50","1.915,50","164,67K","0,33%"
"08.01.2023","1.938,50","1.886,40","1.942,10","1.886,40","283,78K","3,68%"
"02.01.2023","1.869,70","1.831,80","1.875,20","1.829,90","814,60K","-0,86%"
"01.01.2023","1.885,90","1.847,20","1.891,10","1.846,10","57,96K","3,27%"
"26.12.2022","1.826,20","1.808,20","1.841,90","1.804,20","491,18K","-0,87%"
"25.12.2022","1.842,20","1.823,80","1.857,00","1.819,90","20,64K","1,23%"
"18.12.2022","1.819,80","1.818,10","1.848,40","1.808,40","19,97K","0,23%"
"11.12.2022","1.815,60","1.823,80","1.851,40","1.797,60","19,61K","-0,56%"
"04.12.2022","1.825,90","1.826,50","1.837,30","1.793,60","18,53K","0,07%"
"27.11.2022","1.824,70","1.771,10","1.833,80","1.753,30","141,56K","3,16%"
"20.11.2022","1.768,80","1.766,60","1.776,00","1.733,50","262,76K","-0,01%"
"13.11.2022","1.769,00","1.783,50","1.806,00","1.764,00","228,38K","-0,81%"
"06.11.2022","1.783,50","1.692,50","1.788,40","1.681,30","267,60K","5,50%"
"30.10.2022","1.690,60","1.661,50","1.700,40","1.632,40","97,62K","1,90%"
"23.10.2022","1.659,10","1.676,50","1.693,00","1.655,20","64,84K","-0,66%"
"16.10.2022","1.670,20","1.663,20","1.688,00","1.635,00","20,04K","0,45%"
"09.10.2022","1.662,80","1.717,00","1.720,00","1.659,90","34,45K","-3,48%"
"02.10.2022","1.722,80","1.682,40","1.751,60","1.679,50","35,83K","2,25%"
"25.09.2022","1.684,90","1.651,00","1.696,70","1.622,20","703,49K","1,77%"
"18.09.2022","1.655,60","1.685,40","1.696,90","1.646,60","997,37K","-1,66%"
"11.09.2022","1.683,50","1.728,40","1.746,40","1.661,90","1,04M","-2,61%"
"04.09.2022","1.728,60","1.724,20","1.740,50","1.701,70","718,77K","0,35%"
"28.08.2022","1.722,60","1.748,40","1.757,90","1.699,10","836,92K","-1,55%"
"21.08.2022","1.749,80","1.760,60","1.778,80","1.740,20","695,24K","-0,74%"
"14.08.2022","1.762,90","1.818,90","1.818,90","1.759,10","633,02K","-2,90%"
"07.08.2022","1.815,50","1.790,30","1.824,60","1.786,90","618,69K","1,36%"
"31.07.2022","1.791,20","1.782,50","1.812,00","1.770,00","781,83K","0,53%"
"24.07.2022","1.781,80","1.733,80","1.784,60","1.717,50","367,51K","2,70%"
"17.07.2022","1.735,00","1.713,20","1.745,30","1.686,30","30,82K","1,37%"
"10.07.2022","1.711,60","1.750,00","1.752,30","1.703,80","26,55K","-2,24%"
"03.07.2022","1.750,90","1.823,00","1.823,90","1.734,80","17,01K","-3,29%"
"26.06.2022","1.810,40","1.848,50","1.851,50","1.792,70","12,32K","-1,57%"
"19.06.2022","1.839,30","1.847,50","1.859,00","1.826,70","12,19K","-0,56%"
"12.06.2022","1.849,60","1.887,40","1.890,60","1.814,90","15,67K","-1,82%"
"05.06.2022","1.883,90","1.863,40","1.887,40","1.835,00","5,79K","1,38%"
"29.05.2022","1.858,30","1.862,00","1.886,40","1.838,60","6,12K","-0,36%"
"22.05.2022","1.865,00","1.850,90","1.875,00","1.842,50","332,56K","0,90%"
"15.05.2022","1.848,40","1.816,00","1.854,50","1.792,00","176,87K","1,85%"
"08.05.2022","1.814,80","1.890,90","1.891,80","1.804,00","314,84K","-3,99%"
"01.05.2022","1.890,20","1.903,10","1.917,60","1.856,70","145,29K","-1,48%"
"24.04.2022","1.918,60","1.937,40","1.942,60","1.877,80","46,35K","-1,17%"
"17.04.2022","1.941,40","1.983,10","2.009,50","1.935,00","36,79K","-2,03%"
"10.04.2022","1.981,60","1.957,10","1.992,20","1.949,90","27,36K","1,51%"
"03.04.2022","1.952,20","1.933,50","1.958,30","1.922,30","25,22K","1,19%"
"27.03.2022","1.929,20","1.962,50","1.965,20","1.893,20","337,10K","-1,56%"
"20.03.2022","1.959,80","1.927,40","1.972,50","1.915,50","290,48K","1,34%"
"13.03.2022","1.933,90","1.993,50","1.999,00","1.900,40","188,52K","-2,79%"
"06.03.2022","1.989,40","1.981,30","2.082,00","1.964,80","390,44K","0,99%"
"27.02.2022","1.969,90","1.921,00","1.978,10","1.895,60","55,45K","4,18%"
"20.02.2022","1.890,80","1.904,70","1.979,10","1.882,00","53,22K","-0,65%"
"13.02.2022","1.903,10","1.866,70","1.907,90","1.849,20","30,35K","3,12%"
"06.02.2022","1.845,50","1.810,90","1.870,60","1.810,70","46,32K","1,92%"
"30.01.2022","1.810,80","1.795,40","1.818,60","1.788,90","25,10K","1,20%"
"23.01.2022","1.789,30","1.838,30","1.856,70","1.783,80","549,54K","-2,44%"
"16.01.2022","1.834,10","1.819,80","1.850,80","1.807,20","340,34K","0,83%"
"09.01.2022","1.819,00","1.798,00","1.831,50","1.792,00","237,68K","1,06%"
"02.01.2022","1.799,90","1.832,90","1.835,40","1.783,80","136,24K","-1,70%"
"26.12.2021","1.831,00","1.809,00","1.833,60","1.791,90","20,20K","0,94%"
"19.12.2021","1.814,00","1.802,40","1.814,20","1.787,60","12,44K","0,37%"
"12.12.2021","1.807,30","1.786,60","1.818,00","1.755,40","29,12K","1,14%"
"05.12.2021","1.787,00","1.790,00","1.796,20","1.772,90","22,46K","0,07%"
"28.11.2021","1.785,80","1.792,40","1.813,10","1.764,20","23,00K","-0,13%"
"21.11.2021","1.788,10","1.850,70","1.853,00","1.780,20","575,17K","-3,57%"
"14.11.2021","1.854,30","1.876,30","1.881,90","1.847,00","258,96K","-0,88%"
"07.11.2021","1.870,80","1.822,20","1.873,30","1.815,90","243,74K","2,85%"
"31.10.2021","1.819,00","1.786,80","1.822,20","1.761,00","82,65K","1,85%"
"24.10.2021","1.785,90","1.796,40","1.814,60","1.774,60","34,00K","-0,69%"
"17.10.2021","1.798,30","1.769,50","1.817,50","1.762,80","21,20K","1,59%"
"10.10.2021","1.770,20","1.760,30","1.803,60","1.752,10","22,63K","0,61%"
"03.10.2021","1.759,40","1.762,40","1.783,20","1.747,90","24,01K","-0,04%"
"26.09.2021","1.760,10","1.751,80","1.766,40","1.723,70","377,15K","0,48%"
"19.09.2021","1.751,70","1.754,20","1.788,40","1.737,50","843,43K","0,02%"
"12.09.2021","1.751,40","1.789,80","1.810,60","1.745,50","890,08K","-2,27%"
"05.09.2021","1.792,10","1.833,50","1.833,50","1.783,10","704,11K","-2,27%"
"29.08.2021","1.833,70","1.821,60","1.836,90","1.803,40","713,39K","0,78%"
"22.08.2021","1.819,50","1.781,20","1.821,90","1.778,00","772,74K","1,99%"
"15.08.2021","1.784,00","1.780,90","1.797,60","1.772,00","674,45K","0,33%"
"08.08.2021","1.778,20","1.765,00","1.781,90","1.677,90","939,47K","0,86%"
"01.08.2021","1.763,10","1.817,00","1.835,90","1.759,50","1,00M","-2,98%"
"25.07.2021","1.817,20","1.804,00","1.837,50","1.793,00","411,51K","0,75%"
"18.07.2021","1.803,60","1.814,00","1.827,20","1.791,00","27,65K","-0,72%"
"11.07.2021","1.816,70","1.809,90","1.836,20","1.793,50","17,48K","0,25%"
"04.07.2021","1.812,10","1.787,40","1.821,00","1.787,00","13,02K","1,51%"
"27.06.2021","1.785,20","1.783,10","1.797,60","1.752,50","5,51K","0,30%"
"20.06.2021","1.779,80","1.769,30","1.797,00","1.769,30","4,95K","0,50%"
"13.06.2021","1.770,90","1.880,70","1.881,20","1.763,30","9,17K","-5,89%"
"06.06.2021","1.881,70","1.894,30","1.908,00","1.874,40","6,41K","-0,64%"
"30.05.2021","1.893,80","1.909,30","1.920,50","1.857,60","6,28K","-0,69%"
"23.05.2021","1.906,90","1.885,60","1.915,60","1.875,40","414,93K","1,49%"
"16.05.2021","1.878,90","1.843,50","1.893,20","1.843,10","248,41K","2,11%"
"09.05.2021","1.840,00","1.836,10","1.849,00","1.810,70","257,70K","0,35%"
"02.05.2021","1.833,50","1.770,40","1.846,50","1.768,50","87,85K","3,60%"
"25.04.2021","1.769,80","1.776,00","1.791,50","1.756,80","43,50K","-0,57%"
"18.04.2021","1.779,90","1.780,10","1.800,00","1.765,80","14,29K","-0,13%"
"11.04.2021","1.782,20","1.745,20","1.786,20","1.725,50","17,14K","2,03%"
"04.04.2021","1.746,80","1.732,10","1.761,20","1.723,60","14,97K","0,95%"
"28.03.2021","1.730,30","1.732,40","1.734,80","1.679,40","190,38K","-0,25%"
"21.03.2021","1.734,70","1.747,50","1.749,20","1.721,20","350,12K","-0,53%"
"14.03.2021","1.743,90","1.728,20","1.756,00","1.719,10","111,66K","1,25%"
"07.03.2021","1.722,40","1.703,90","1.740,40","1.676,20","264,27K","1,22%"
"28.02.2021","1.701,60","1.735,40","1.759,90","1.685,80","108,27K","-1,73%"
"21.02.2021","1.731,60","1.785,80","1.817,60","1.718,10","43,85K","-2,74%"
"14.02.2021","1.780,30","1.828,00","1.829,90","1.762,90","28,23K","-2,50%"
"07.02.2021","1.826,00","1.818,90","1.858,90","1.809,90","23,31K","0,57%"
"31.01.2021","1.815,60","1.867,30","1.877,80","1.787,30","41,21K","-2,00%"
"24.01.2021","1.852,70","1.858,60","1.881,00","1.832,40","371,79K","-0,39%"
"17.01.2021","1.859,90","1.832,30","1.878,10","1.804,70","269,21K","1,43%"
"10.01.2021","1.833,70","1.852,90","1.867,80","1.821,30","290,59K","-0,33%"
"03.01.2021","1.839,70","1.912,50","1.966,80","1.832,00","121,78K","-3,15%"
"27.12.2020","1.899,60","1.890,90","1.909,20","1.877,20","17,01K","0,65%"
"20.12.2020","1.887,40","1.896,80","1.915,40","1.863,30","12,98K","-0,30%"
"13.12.2020","1.893,00","1.849,00","1.906,00","1.825,00","19,31K","2,46%"
"06.12.2020","1.847,60","1.846,70","1.883,70","1.829,20","26,71K","0,20%"
"29.11.2020","1.844,00","1.795,00","1.856,20","1.771,30","23,94K","2,90%"
"22.11.2020","1.792,10","1.875,90","1.880,70","1.781,20","376,51K","-4,58%"
"15.11.2020","1.878,20","1.893,70","1.904,30","1.855,70","188,52K","-0,78%"
"08.11.2020","1.893,00","1.961,70","1.973,30","1.854,00","260,57K","-3,37%"
"01.11.2020","1.959,10","1.885,30","1.968,90","1.881,00","110,66K","3,81%"
"25.10.2020","1.887,20","1.912,30","1.920,90","1.866,70","34,72K","-1,33%"
"18.10.2020","1.912,70","1.912,70","1.943,20","1.902,00","25,42K","-0,07%"
"11.10.2020","1.914,00","1.942,40","1.945,30","1.892,80","18,00K","-1,01%"
"04.10.2020","1.933,60","1.914,30","1.944,00","1.884,00","27,69K","0,99%"
"27.09.2020","1.914,70","1.862,70","1.930,40","1.851,10","245,80K","2,59%"
"20.09.2020","1.866,30","1.957,30","1.962,90","1.851,00","1,66M","-4,88%"
"13.09.2020","1.962,10","1.948,90","1.983,80","1.938,20","1,19M","0,73%"
"06.09.2020","1.947,90","1.938,00","1.975,20","1.911,70","1,12M","0,70%"
"30.08.2020","1.934,30","1.973,90","2.001,20","1.921,60","1,49M","-2,06%"
"23.08.2020","1.974,90","1.947,90","1.987,00","1.908,40","1,70M","1,43%"
"16.08.2020","1.947,00","1.956,40","2.024,60","1.916,60","1,83M","-0,14%"
"09.08.2020","1.949,80","2.044,80","2.060,80","1.874,20","1,87M","-3,86%"
"02.08.2020","2.028,00","1.997,40","2.089,20","1.975,20","1,53M","2,12%"
"26.07.2020","1.985,90","1.913,10","2.005,40","1.912,20","627,36K","3,97%"
"19.07.2020","1.910,10","1.821,80","1.917,40","1.818,10","47,22K","4,90%"
"12.07.2020","1.820,90","1.817,00","1.832,00","1.804,50","19,90K","0,29%"
"05.07.2020","1.815,60","1.797,90","1.842,30","1.791,00","26,19K","0,76%"
"02.07.2020","1.801,90","1.787,90","1.829,80","1.779,20","1,16M","0,05%"
"28.06.2020","1.801,00","1.798,10","1.816,80","1.777,50","13,52K","0,63%"
"21.06.2020","1.789,80","1.773,00","1.803,70","1.763,10","11,21K","1,64%"
"14.06.2020","1.761,00","1.749,70","1.767,00","1.715,30","7,30K","0,85%"
"07.06.2020","1.746,20","1.694,70","1.763,70","1.693,80","8,40K","3,08%"
"31.05.2020","1.694,10","1.766,50","1.768,50","1.683,80","12,29K","-3,78%"
"24.05.2020","1.760,70","1.753,00","1.763,30","1.701,60","317,47K","0,41%"
"17.05.2020","1.753,50","1.769,40","1.787,50","1.731,20","209,36K","-0,82%"
"10.05.2020","1.768,00","1.718,10","1.772,80","1.705,00","180,85K","2,40%"
"03.05.2020","1.726,60","1.718,10","1.745,10","1.691,00","136,99K","1,14%"
"26.04.2020","1.707,20","1.749,20","1.750,00","1.683,30","44,92K","-1,87%"
"19.04.2020","1.739,70","1.694,50","1.767,40","1.668,40","43,80K","2,33%"
"12.04.2020","1.700,10","1.739,30","1.789,00","1.693,10","39,40K","-2,97%"
"05.04.2020","1.752,10","1.648,10","1.753,50","1.638,20","31,41K","6,48%"
"29.03.2020","1.645,50","1.663,10","1.674,00","1.580,00","29,85K","-0,52%"
"22.03.2020","1.654,10","1.508,40","1.698,00","1.489,40","687,00K","11,16%"
"15.03.2020","1.488,10","1.564,80","1.576,00","1.453,00","331,45K","-2,07%"
"08.03.2020","1.519,50","1.694,50","1.707,80","1.507,00","362,85K","-9,34%"
"01.03.2020","1.676,10","1.598,40","1.696,50","1.581,20","185,35K","6,64%"
"23.02.2020","1.571,80","1.660,30","1.697,00","1.569,10","172,56K","-5,00%"
"16.02.2020","1.654,60","1.590,40","1.657,40","1.587,50","59,50K","3,94%"
"09.02.2020","1.591,90","1.581,60","1.593,60","1.570,50","57,20K","0,80%"
"02.02.2020","1.579,20","1.603,60","1.603,90","1.556,90","30,44K","-0,92%"
"26.01.2020","1.593,80","1.586,10","1.601,20","1.567,90","591,82K","0,99%"
"19.01.2020","1.578,20","1.564,20","1.581,60","1.552,10","338,76K","0,75%"
"12.01.2020","1.566,50","1.569,50","1.569,50","1.542,80","241,27K","0,01%"
"05.01.2020","1.566,40","1.572,20","1.619,60","1.547,40","233,32K","0,49%"
"29.12.2019","1.558,70","1.521,90","1.562,20","1.519,60","64,59K","2,27%"
"22.12.2019","1.524,10","1.487,20","1.525,60","1.487,20","26,07K","2,52%"
"15.12.2019","1.486,60","1.485,80","1.491,30","1.480,40","26,36K","-0,02%"
"08.12.2019","1.486,90","1.469,00","1.496,70","1.469,00","38,54K","1,10%"
"01.12.2019","1.470,70","1.474,10","1.495,20","1.465,80","59,82K","-0,50%"
"24.11.2019","1.478,10","1.467,50","1.478,30","1.456,60","432,65K","0,52%"
"17.11.2019","1.470,50","1.475,10","1.486,00","1.463,30","284,33K","-0,33%"
"10.11.2019","1.475,40","1.466,70","1.482,20","1.453,10","259,20K","0,38%"
"03.11.2019","1.469,80","1.522,90","1.524,00","1.463,40","392,00K","-3,21%"
"27.10.2019","1.518,50","1.514,00","1.525,20","1.490,30","103,18K","0,41%"
"20.10.2019","1.512,30","1.502,00","1.527,80","1.491,00","30,12K","0,75%"
"13.10.2019","1.501,00","1.499,20","1.509,20","1.487,40","34,27K","0,37%"
"06.10.2019","1.495,50","1.524,20","1.529,00","1.484,90","30,11K","-1,59%"
"29.09.2019","1.519,70","1.509,50","1.532,40","1.471,80","48,83K","0,44%"
"22.09.2019","1.513,10","1.521,50","1.543,30","1.500,50","1,66M","-0,13%"
"15.09.2019","1.515,10","1.513,10","1.524,50","1.490,70","1,63M","1,04%"
"08.09.2019","1.499,50","1.516,40","1.532,20","1.492,10","1,88M","-1,06%"
"01.09.2019","1.515,50","1.535,20","1.566,20","1.510,70","2,12M","-0,91%"
"25.08.2019","1.529,40","1.545,40","1.565,00","1.525,60","1,90M","-0,53%"
